user_id,pre_28d,post
u1164,7.374,5.341
u1165,9.963,6.020
u1166,6.967,5.067
u1167,0.000,1.695
u1168,5.676,6.251
u1169,5.732,3.781
u1170,4.885,4.129
u1171,7.701,5.732
u1172,8.751,8.471
u1173,4.386,6.406
u1174,1.024,2.638
u1175,3.861,3.958
u1176,8.577,6.740
u1177,5.656,7.576
u1178,4.344,2.829
u1179,8.180,7.692
u1180,2.870,3.889
u1181,7.752,5.976
u1182,5.134,5.105
u1183,6.496,4.252
u1184,7.875,3.344
u1185,5.861,9.325
u1186,3.682,3.975
u1187,1.003,0.992
u1188,3.481,4.053
u1189,4.935,8.241
u1190,3.986,4.159
u1191,6.505,6.827
u1192,8.002,3.442
u1193,10.866,7.410
u1194,4.441,1.326
u1195,5.044,1.413
u1196,6.434,4.416
u1197,6.740,4.223
u1198,6.183,9.663
u1199,8.607,7.060
